,AAPL,GOOGL,MSFT,SPY
AAPL,0.00042256870631998575,0.0002738880571294215,0.00028978201804965713,0.00022196177722939286
GOOGL,0.0002738880571294215,0.00042871792270850976,0.00029220961595949866,0.00020792419088748164
MSFT,0.00028978201804965713,0.00029220961595949866,0.00036939794100729003,0.00021212784510407843
SPY,0.00022196177722939286,0.00020792419088748164,0.00021212784510407843,0.00018430802251668228
