Date,AAPL,GOOGL,MSFT,SPY
2020-01-02,72.620849609375,68.02603149414062,153.0423126220703,300.29156494140625
2020-01-03,71.9148178100586,67.67015075683594,151.1366424560547,298.0176696777344
2020-01-06,72.48785400390625,69.47384643554688,151.52731323242188,299.1546936035156
2020-01-07,72.14692687988281,69.33964538574219,150.14573669433594,298.3134460449219
2020-01-08,73.30751037597656,69.83318328857422,152.53729248046875,299.9034118652344
2020-01-09,74.86463165283203,70.56629180908203,154.44296264648438,301.93695068359375
2020-01-10,75.03385162353516,71.02204895019531,153.7283477783203,301.0680847167969
2020-01-13,76.63693237304688,71.57225799560547,155.5768280029297,303.1385498046875
2020-01-14,75.6020736694336,71.10307312011719,154.4810791015625,302.6763916015625
2020-01-15,75.27806854248047,71.53099822998047,155.48153686523438,303.3604431152344
2020-01-16,76.2210464477539,72.07573699951172,158.33047485351562,305.8838806152344
2020-01-17,77.06489562988281,73.53498077392578,159.2166290283203,306.8359680175781
2020-01-21,76.5426254272461,73.6706771850586,158.6448974609375,306.235107421875
2020-01-22,76.81584930419922,73.75117492675781,157.8826141357422,306.27215576171875
2020-01-23,77.18578338623047,73.79193878173828,158.85455322265625,306.6234130859375
2020-01-24,76.96333312988281,72.87146759033203,157.25376892089844,303.8965148925781
2020-01-27,74.70021057128906,71.15973663330078,154.6239776611328,299.0252380371094
2020-01-28,76.81341552734375,72.09263610839844,157.65396118164062,302.1588439941406
2020-01-29,78.42131042480469,72.40079498291016,160.11221313476562,301.9091491699219
2020-01-30,78.30767822265625,72.27902221679688,164.6286163330078,302.8890686035156
2020-01-31,74.8355941772461,71.2119140625,162.19894409179688,297.3891296386719
2020-02-03,74.63007354736328,73.68807220458984,166.1531524658203,299.5982971191406
2020-02-04,77.09387969970703,71.83965301513672,171.622314453125,304.1645812988281
2020-02-05,77.72254943847656,71.8714599609375,171.41273498535156,307.67706298828125
2020-02-06,78.63165283203125,73.35855102539062,174.9667510986328,308.7124328613281
2020-02-07,77.5628662109375,73.51460266113281,175.21446228027344,307.0670471191406
2020-02-10,77.93124389648438,74.98329162597656,179.7975616455078,309.3592834472656
2020-02-11,77.4610824584961,75.0528793334961,175.73851013183594,309.8954162597656
2020-02-12,79.30059814453125,75.47882843017578,175.9957733154297,311.89208984375
2020-02-13,78.73587036132812,75.21839904785156,175.04295349121094,311.55938720703125
2020-02-14,78.75525665283203,75.48379516601562,176.60560607910156,312.0584411621094
2020-02-18,77.313232421875,75.51908874511719,178.39691162109375,311.25433349609375
2020-02-19,78.43292236328125,75.78897094726562,178.9319610595703,312.7424621582031
2020-02-20,77.6282958984375,75.3973159790039,176.19940185546875,311.4576721191406
2020-02-21,75.87117767333984,73.73080444335938,170.62928771972656,308.2501525878906
2020-02-24,72.26725769042969,70.56977081298828,163.2725067138672,298.02691650390625
2020-02-25,69.81939697265625,68.90276336669922,160.57823181152344,288.99603271484375
2020-02-26,70.92700958251953,69.1090316772461,162.58460998535156,287.93310546875
2020-02-27,66.29063415527344,65.35553741455078,151.12905883789062,275.0014953613281
2020-02-28,66.25183868408203,66.56330108642578,154.78839111328125,273.8461608886719
2020-03-02,72.4199447631836,68.90276336669922,165.08782958984375,285.70538330078125
2020-03-03,70.11994934082031,66.48725891113281,157.17691040039062,277.5250244140625
2020-03-04,73.37242889404297,68.66818237304688,162.9476776123047,289.1901550292969
2020-03-05,70.992431640625,65.34609985351562,158.8584747314453,279.5770263671875
2020-03-06,70.04966735839844,64.40076446533203,154.36795043945312,274.9552917480469
2020-03-09,64.50928497314453,60.42709732055664,143.9060516357422,253.48280334472656
2020-03-10,69.15534973144531,63.37839889526367,153.74693298339844,266.5992431640625
2020-03-11,66.75355529785156,60.184051513671875,146.78189086914062,253.6029510498047
2020-03-12,60.16132354736328,55.24617004394531,132.86135864257812,229.33892822265625
2020-03-13,67.36915588378906,60.35155487060547,151.75010681152344,248.9442901611328
2020-03-16,58.702308654785156,53.330162048339844,129.3835906982422,221.70384216308594
2020-03-17,61.28345489501953,55.56972885131836,140.03663635253906,233.67413330078125
2020-03-18,59.78323745727539,54.2342414855957,134.1416473388672,221.84251403808594
2020-03-19,59.325164794921875,55.252132415771484,136.34869384765625,222.31393432617188
2020-03-20,55.55889129638672,53.09209060668945,131.2275848388672,212.73348999023438
2020-03-23,54.37858581542969,52.39228439331055,129.9186248779297,207.29428100585938
2020-03-24,59.83413314819336,56.163665771484375,141.72772216796875,226.0758514404297
2020-03-25,59.5045280456543,54.752628326416016,140.37100219726562,229.460205078125
2020-03-26,62.63582992553711,57.79935836791992,149.1513214111328,242.85833740234375
2020-03-27,60.04256820678711,55.18205642700195,143.02706909179688,235.62464904785156
2020-03-30,61.75605773925781,56.97380828857422,153.0876922607422,243.2767333984375
2020-03-31,61.630027770996094,57.75114440917969,150.68003845214844,239.6505889892578
2020-04-01,58.38724899291992,54.776485443115234,145.32965087890625,228.8651580810547
2020-04-02,59.36152648925781,55.51853942871094,148.33921813964844,234.14625549316406
2020-04-03,58.5084114074707,54.30928421020508,146.97296142578125,230.7619171142578
2020-04-06,63.6125373840332,58.80681610107422,157.90304565429688,246.2613067626953
2020-04-07,62.875762939453125,58.7755012512207,156.20237731933594,246.51239013671875
2020-04-08,64.48505401611328,59.99021911621094,157.769287109375,254.78736877441406
2020-04-09,64.95038604736328,59.96884536743164,157.7788543701172,258.66461181640625
2020-04-13,66.22520446777344,60.15970230102539,158.13235473632812,256.3028869628906
2020-04-14,69.56977844238281,62.88436508178711,165.95724487304688,263.8620300292969
